cd,var,edu,percent
2422,high_school,Secondary (high) school diploma or equivalency certificate,20.8
2422,app_trade,Apprenticeship or trades certificate or diploma,20.9
2422,college_degep,"College, CEGEP or other non-university certificate or diploma",21.5
2422,uni_below_bach,University certificate or diploma below bachelor level,3.2
2422,uni_bac_up,"University certificate, diploma or degree at bachelor level or above",20.8
2423,no_cert,"No certificate, diploma or degree",13.7
2423,high_school,Secondary (high) school diploma or equivalency certificate,20.3
2423,app_trade,Apprenticeship or trades certificate or diploma,15.6
2423,college_degep,"College, CEGEP or other non-university certificate or diploma",20.5
2423,uni_below_bach,University certificate or diploma below bachelor level,3.9
2423,uni_bac_up,"University certificate, diploma or degree at bachelor level or above",25.9
2425,no_cert,"No certificate, diploma or degree",13.6
2425,high_school,Secondary (high) school diploma or equivalency certificate,19.9
2425,app_trade,Apprenticeship or trades certificate or diploma,18.2
2425,college_degep,"College, CEGEP or other non-university certificate or diploma",22.2
2425,uni_below_bach,University certificate or diploma below bachelor level,4.3
2425,uni_bac_up,"University certificate, diploma or degree at bachelor level or above",21.8
2426,no_cert,"No certificate, diploma or degree",20
2426,high_school,Secondary (high) school diploma or equivalency certificate,21.9
2426,app_trade,Apprenticeship or trades certificate or diploma,24.5
2426,college_degep,"College, CEGEP or other non-university certificate or diploma",18.5
2426,uni_below_bach,University certificate or diploma below bachelor level,2.7
2426,uni_bac_up,"University certificate, diploma or degree at bachelor level or above",12.4
2427,no_cert,"No certificate, diploma or degree",27.9
2427,high_school,Secondary (high) school diploma or equivalency certificate,21
2427,app_trade,Apprenticeship or trades certificate or diploma,24.4
2427,college_degep,"College, CEGEP or other non-university certificate or diploma",14.8
2427,uni_below_bach,University certificate or diploma below bachelor level,2.5
2427,uni_bac_up,"University certificate, diploma or degree at bachelor level or above",9.4
2428,no_cert,"No certificate, diploma or degree",31.9
2428,high_school,Secondary (high) school diploma or equivalency certificate,22.1
2428,app_trade,Apprenticeship or trades certificate or diploma,24.2
2428,college_degep,"College, CEGEP or other non-university certificate or diploma",12.8
2428,uni_below_bach,University certificate or diploma below bachelor level,2.1
2428,uni_bac_up,"University certificate, diploma or degree at bachelor level or above",6.9
2429,no_cert,"No certificate, diploma or degree",27.5
2429,high_school,Secondary (high) school diploma or equivalency certificate,20.4
2429,app_trade,Apprenticeship or trades certificate or diploma,23.6
2429,college_degep,"College, CEGEP or other non-university certificate or diploma",15.5
2429,uni_below_bach,University certificate or diploma below bachelor level,2.5
2429,uni_bac_up,"University certificate, diploma or degree at bachelor level or above",10.5
2430,no_cert,"No certificate, diploma or degree",33.2
2430,high_school,Secondary (high) school diploma or equivalency certificate,20.8
2430,app_trade,Apprenticeship or trades certificate or diploma,23
2430,college_degep,"College, CEGEP or other non-university certificate or diploma",12.6
2430,uni_below_bach,University certificate or diploma below bachelor level,2.4
2430,uni_bac_up,"University certificate, diploma or degree at bachelor level or above",8
